,Latitude,Longitude,Borough,Neighborhood,price1,price2,price3,price4
0,40.52626406734812,-74.20152556457658,Staten Island,Prince's Bay,4,1,0,0
0,40.57650629379489,-74.13792663771568,Staten Island,Lighthouse Hill,4,2,0,0
0,40.51954145748909,-74.22957080626941,Staten Island,Richmond Valley,19,7,3,0
0,40.79060155670148,-73.82667757138641,Queens,Malba,16,6,3,1
0,40.6819989345173,-73.890345709872,Brooklyn,Highland Park,19,5,0,0
0,40.60937770113766,-73.94841515328893,Brooklyn,Madison,21,8,2,1
0,40.85272297633017,-73.86172577555115,Bronx,Bronxdale,61,14,4,1
0,40.86578787802982,-73.85931863221647,Bronx,Allerton,30,9,2,0
0,40.8703923914147,-73.90152264513144,Bronx,Kingsbridge Heights,12,4,0,0
0,40.64692606658579,-73.94817709920184,Brooklyn,Erasmus,35,12,4,0
0,40.75665808227519,-74.00011136202637,Manhattan,Hudson Yards,40,53,21,3
0,40.58733774018741,-73.80553002968718,Queens,Hammels,17,9,0,0
0,40.611321691283834,-73.76596781445627,Queens,Bayswater,1,1,0,0
0,40.756091297094706,-73.94563070334091,Queens,Queensbridge,35,25,4,1
0,40.61731079252983,-74.08173992211962,Staten Island,Fox Hills,5,3,0,0
0,40.737209832715,-73.98137594833541,Manhattan,Gramercy,49,70,27,13
0,40.58024741350956,-74.0795529253982,Staten Island,South Beach,1,2,0,0
0,40.63532509911492,-74.16510420241124,Staten Island,Arlington,7,2,0,0
